Round Number,Date,Home Team,Away Team,Result
1,05/15/2016,Arsenal,Aston Villa,4 - 0
1,05/15/2016,Chelsea,Leicester,1 - 1
1,05/15/2016,Everton,Norwich,3 - 0
1,05/15/2016,Newcastle Utd,Tottenham,5 - 1
1,05/15/2016,Southampton,Crystal Palace,4 - 1
1,05/15/2016,Stoke City,West Ham,2 - 1
1,05/15/2016,Swansea,Manchester City,1 - 1
1,05/15/2016,Watford,Sunderland,2 - 2
1,05/15/2016,West Brom,Liverpool,1 - 1
1,05/11/2016,Liverpool,Chelsea,1 - 1
2,05/11/2016,Norwich,Watford,4 - 2
2,05/11/2016,Sunderland,Everton,3 - 0
2,05/10/2016,West Ham,Manchester United,3 - 2
2,05/08/2016,Liverpool,Watford,2 - 0
2,05/08/2016,Manchester City,Arsenal,2 - 2
2,05/08/2016,Tottenham,Southampton,1 - 2
2,05/07/2016,Leicester,Everton,3 - 1
2,05/07/2016,Aston Villa,Newcastle Utd,0 - 0
2,05/07/2016,Bournemouth,West Brom,1 - 1
2,05/07/2016,Crystal Palace,Stoke City,2 - 1
3,05/07/2016,Sunderland,Chelsea,3 - 2
3,05/07/2016,West Ham,Swansea,1 - 4
3,05/07/2016,Norwich,Manchester United,0 - 1
3,05/02/2016,Chelsea,Tottenham,2 - 2
3,05/01/2016,Southampton,Manchester City,4 - 2
3,05/01/2016,Manchester United,Leicester,1 - 1
3,05/01/2016,Swansea,Liverpool,3 - 1
3,04/30/2016,Arsenal,Norwich,1 - 0
3,04/30/2016,Everton,Bournemouth,2 - 1
3,04/30/2016,Newcastle Utd,Crystal Palace,1 - 0
4,04/30/2016,Stoke City,Sunderland,1 - 1
4,04/30/2016,Watford,Aston Villa,3 - 2
4,04/30/2016,West Brom,West Ham,0 - 3
4,04/25/2016,Tottenham,West Brom,1 - 1
4,04/24/2016,Leicester,Swansea,4 - 0
4,04/24/2016,Sunderland,Arsenal,0 - 0
4,04/23/2016,Aston Villa,Southampton,2 - 4
4,04/23/2016,Bournemouth,Chelsea,1 - 4
4,04/23/2016,Liverpool,Newcastle Utd,2 - 2
4,04/23/2016,Manchester City,Stoke City,4 - 0
5,04/21/2016,Arsenal,West Brom,2 - 0
5,04/20/2016,Liverpool,Everton,4 - 0
5,04/20/2016,Manchester United,Crystal Palace,2 - 0
5,04/20/2016,West Ham,Watford,3 - 1
5,04/19/2016,Newcastle Utd,Manchester City,1 - 1
5,04/18/2016,Stoke City,Tottenham,0 - 4
5,04/17/2016,Arsenal,Crystal Palace,1 - 1
5,04/17/2016,Bournemouth,Liverpool,1 - 2
