,Round Number,Date,Home Team,Away Team,Result
2720,0,2004-08-06,Mouscron,Anderlecht,2 - 0
2721,0,2004-08-07,Beveren,Club Brugge,1 - 1
2722,0,2004-08-07,Cercle Brugge,Lokeren,2 - 2
2723,0,2004-08-07,FC Brussels,Genk,0 - 1
2724,0,2004-08-07,Gent,Germinal,0 - 1
2725,0,2004-08-07,Lierse,Standard,1 - 1
2726,0,2004-08-07,St Truiden,Bergen,0 - 0
2727,0,2004-08-08,Charleroi,Louvieroise,2 - 5
2728,0,2004-08-08,Oostende,Westerlo,3 - 3
2729,0,2004-08-13,Standard,Charleroi,1 - 2
2730,1,2004-08-14,Anderlecht,St Truiden,2 - 1
2731,1,2004-08-14,Genk,Mouscron,0 - 0
2732,1,2004-08-14,Lokeren,FC Brussels,1 - 0
2733,1,2004-08-14,Louvieroise,Cercle Brugge,2 - 1
2734,1,2004-08-14,Westerlo,Lierse,2 - 1
2735,1,2004-08-15,Bergen,Beveren,2 - 2
2736,1,2004-08-15,Club Brugge,Gent,5 - 0
2737,1,2004-08-15,Germinal,Oostende,4 - 0
2738,1,2004-08-21,Beveren,Anderlecht,0 - 1
2739,2,2004-08-21,Charleroi,Westerlo,0 - 1
2740,2,2004-08-21,Gent,Bergen,2 - 1
2741,2,2004-08-21,Lierse,Germinal,2 - 0
2742,2,2004-08-21,Mouscron,St Truiden,4 - 0
2743,2,2004-08-21,Oostende,Club Brugge,1 - 2
2744,2,2004-08-22,Cercle Brugge,Standard,1 - 3
2745,2,2004-08-22,FC Brussels,Louvieroise,1 - 1
2746,2,2004-08-22,Genk,Lokeren,2 - 1
2747,2,2004-08-27,Louvieroise,Genk,2 - 0
2748,3,2004-08-28,Anderlecht,Gent,2 - 0
2749,3,2004-08-28,Bergen,Oostende,2 - 0
2750,3,2004-08-28,Club Brugge,Lierse,1 - 0
2751,3,2004-08-28,Lokeren,Mouscron,1 - 1
2752,3,2004-08-28,Standard,FC Brussels,1 - 3
2753,3,2004-08-28,Westerlo,Cercle Brugge,1 - 2
2754,3,2004-08-29,Germinal,Charleroi,0 - 1
2755,3,2004-08-29,St Truiden,Beveren,0 - 1
