,Round Number,Date,Home Team,Away Team,Result
133018,0,1987-08-15,Brentford,Sunderland,0 - 1
133019,0,1987-08-15,Brighton & Hove Albion,York City,1 - 0
133020,0,1987-08-15,Bristol Rovers,Rotherham United,3 - 1
133021,0,1987-08-15,Bury,Southend United,2 - 2
133022,0,1987-08-15,Chester,Northampton Town,0 - 5
133023,0,1987-08-15,Doncaster Rovers,Grimsby Town,1 - 0
133024,0,1987-08-15,Gillingham,Blackpool,0 - 0
133025,0,1987-08-15,Mansfield Town,Bristol City,2 - 0
133026,0,1987-08-15,Notts County,Wigan Athletic,4 - 4
133027,0,1987-08-15,Port Vale,Aldershot,4 - 2
133028,0,1987-08-15,Preston North End,Chesterfield,0 - 1
133029,0,1987-08-15,Walsall,Fulham,0 - 1
133079,0,1987-08-22,Blackpool,Walsall,1 - 2
133080,1,1987-08-22,Bristol City,Preston North End,3 - 1
133081,1,1987-08-22,Chesterfield,Brighton & Hove Albion,0 - 0
133082,1,1987-08-22,Fulham,Doncaster Rovers,4 - 0
133083,1,1987-08-22,Grimsby Town,Gillingham,2 - 0
133084,1,1987-08-22,Rotherham United,Bury,0 - 1
133085,1,1987-08-22,Southend United,Chester,2 - 2
133086,1,1987-08-22,Sunderland,Bristol Rovers,1 - 1
133087,1,1987-08-22,York City,Notts County,3 - 5
133121,1,1987-08-29,Brentford,Bristol City,0 - 2
133122,1,1987-08-29,Brighton & Hove Albion,Fulham,2 - 0
133123,2,1987-08-29,Bristol Rovers,Aldershot,3 - 1
133124,2,1987-08-29,Bury,Blackpool,3 - 1
133125,2,1987-08-29,Chester,York City,1 - 0
133126,2,1987-08-29,Doncaster Rovers,Sunderland,0 - 2
133127,2,1987-08-29,Gillingham,Southend United,8 - 1
133128,2,1987-08-29,Mansfield Town,Chesterfield,0 - 1
133129,2,1987-08-29,Notts County,Grimsby Town,0 - 0
133130,2,1987-08-29,Port Vale,Rotherham United,0 - 0
133131,2,1987-08-29,Preston North End,Wigan Athletic,0 - 1
133132,2,1987-08-29,Walsall,Northampton Town,1 - 0
133154,2,1987-08-31,Aldershot,Doncaster Rovers,2 - 1
