,Round Number,Date,Home Team,Away Team,Result
30656,0,2007-08-10,Alemannia Aachen,Carl Zeiss Jena,2 - 2
30657,0,2007-08-10,FC St. Pauli,1. FC Koln,0 - 2
30658,0,2007-08-10,VfL Osnabruck,SC Freiburg,2 - 1
30659,0,2007-08-12,1. FSV Mainz 05,TuS Koblenz,4 - 1
30660,0,2007-08-12,FC Augsburg,1860 Munchen,2 - 6
30661,0,2007-08-12,Erzgebirge Aue,SpVgg Greuther Furth,1 - 1
30662,0,2007-08-12,SC Paderborn 07,Kickers Offenbach,0 - 2
30663,0,2007-08-12,TSG Hoffenheim,SV Wehen Wiesbaden,2 - 3
30664,0,2007-08-13,1. FC Kaiserslautern,Bor. Monchengladbach,1 - 1
30665,0,2007-08-17,SC Freiburg,SC Paderborn 07,1 - 0
30666,1,2007-08-17,TuS Koblenz,FC Augsburg,2 - 1
30667,1,2007-08-17,SV Wehen Wiesbaden,VfL Osnabruck,1 - 1
30668,1,2007-08-19,Bor. Monchengladbach,TSG Hoffenheim,0 - 0
30669,1,2007-08-19,SpVgg Greuther Furth,1. FSV Mainz 05,3 - 0
30670,1,2007-08-19,1860 Munchen,1. FC Kaiserslautern,3 - 1
30671,1,2007-08-19,Carl Zeiss Jena,FC St. Pauli,0 - 1
30672,1,2007-08-19,Kickers Offenbach,Erzgebirge Aue,3 - 2
30673,1,2007-08-20,1. FC Koln,Alemannia Aachen,0 - 1
30674,1,2007-08-24,1. FSV Mainz 05,Bor. Monchengladbach,4 - 1
30675,2,2007-08-24,1. FC Koln,Carl Zeiss Jena,4 - 3
30676,2,2007-08-24,VfL Osnabruck,SC Paderborn 07,0 - 0
30677,2,2007-08-26,Alemannia Aachen,Kickers Offenbach,4 - 0
30678,2,2007-08-26,1. FC Kaiserslautern,SpVgg Greuther Furth,0 - 1
30679,2,2007-08-26,Erzgebirge Aue,SV Wehen Wiesbaden,3 - 0
30680,2,2007-08-26,TSG Hoffenheim,1860 Munchen,0 - 3
30681,2,2007-08-26,FC St. Pauli,TuS Koblenz,1 - 0
30682,2,2007-08-27,FC Augsburg,SC Freiburg,1 - 1
30683,2,2007-08-31,1860 Munchen,1. FC Koln,1 - 1
30684,3,2007-08-31,TuS Koblenz,1. FC Kaiserslautern,2 - 2
30685,3,2007-08-31,Kickers Offenbach,FC Augsburg,1 - 0
30686,3,2007-09-02,Bor. Monchengladbach,VfL Osnabruck,2 - 1
30687,3,2007-09-02,SpVgg Greuther Furth,FC St. Pauli,2 - 1
30688,3,2007-09-02,SC Paderborn 07,Erzgebirge Aue,0 - 1
30689,3,2007-09-02,Carl Zeiss Jena,1. FSV Mainz 05,1 - 2
30690,3,2007-09-02,SV Wehen Wiesbaden,Alemannia Aachen,3 - 0
30691,3,2007-09-03,SC Freiburg,TSG Hoffenheim,3 - 2
30692,3,2007-09-14,1. FC Kaiserslautern,SC Paderborn 07,0 - 0
30693,4,2007-09-14,Carl Zeiss Jena,TuS Koblenz,1 - 2
30694,4,2007-09-14,FC St. Pauli,Kickers Offenbach,3 - 1
30695,4,2007-09-16,1. FSV Mainz 05,SC Freiburg,1 - 1
30696,4,2007-09-16,Alemannia Aachen,1860 Munchen,0 - 0
30697,4,2007-09-16,FC Augsburg,SV Wehen Wiesbaden,5 - 1
30698,4,2007-09-16,1. FC Koln,SpVgg Greuther Furth,0 - 0
30699,4,2007-09-16,TSG Hoffenheim,VfL Osnabruck,3 - 1
30700,4,2007-09-17,Erzgebirge Aue,Bor. Monchengladbach,2 - 3
30701,4,2007-09-21,Bor. Monchengladbach,FC Augsburg,4 - 2
30702,5,2007-09-21,SpVgg Greuther Furth,Alemannia Aachen,2 - 0
30703,5,2007-09-21,1860 Munchen,FC St. Pauli,2 - 1
30704,5,2007-09-21,SC Paderborn 07,TSG Hoffenheim,0 - 2
30705,5,2007-09-21,VfL Osnabruck,Erzgebirge Aue,2 - 1
30706,5,2007-09-23,SC Freiburg,1. FC Kaiserslautern,1 - 0
30707,5,2007-09-23,TuS Koblenz,1. FC Koln,1 - 2
30708,5,2007-09-23,Kickers Offenbach,1. FSV Mainz 05,2 - 0
30709,5,2007-09-23,SV Wehen Wiesbaden,Carl Zeiss Jena,5 - 1
30710,5,2007-09-25,Alemannia Aachen,SC Paderborn 07,3 - 1
30711,6,2007-09-25,FC Augsburg,VfL Osnabruck,2 - 0
30712,6,2007-09-25,Erzgebirge Aue,TSG Hoffenheim,2 - 2
30713,6,2007-09-25,FC St. Pauli,Bor. Monchengladbach,0 - 3
30714,6,2007-09-26,1. FC Kaiserslautern,SV Wehen Wiesbaden,0 - 2
30715,6,2007-09-26,1. FC Koln,SC Freiburg,1 - 3
30716,6,2007-09-26,TuS Koblenz,SpVgg Greuther Furth,3 - 0
30717,6,2007-09-26,Carl Zeiss Jena,Kickers Offenbach,2 - 0
30718,6,2007-09-27,1. FSV Mainz 05,1860 Munchen,3 - 0
30719,6,2007-09-28,Bor. Monchengladbach,Alemannia Aachen,2 - 1
30720,7,2007-09-28,SC Paderborn 07,FC Augsburg,1 - 1
30721,7,2007-09-28,VfL Osnabruck,FC St. Pauli,3 - 1
