,Round Number,Date,Home Team,Away Team,Result
5070,0,1982-08-20,Borussia Dortmund,VfB Stuttgart,1 - 1
5071,0,1982-08-20,1. FC Kaiserslautern,Hertha BSC,2 - 2
5072,0,1982-08-21,SV Bayer 04 Leverkusen,Arminia Bielefeld,0 - 1
5073,0,1982-08-21,Karlsruher SC,Eintracht Frankfurt,1 - 0
5074,0,1982-08-21,Fortuna Dusseldorf,VfL Bochum,2 - 0
5075,0,1982-08-21,Werder Bremen,Bayern Munchen,1 - 0
5076,0,1982-08-21,1. FC Nurnberg,Hamburger SV,2 - 2
5077,0,1982-08-21,FC Schalke 04,Bor. Monchengladbach,2 - 4
5078,0,1982-08-21,Eintracht Braunschweig,1. FC Koln,2 - 2
5079,0,1982-08-17,Hertha BSC,Borussia Dortmund,1 - 3
5080,1,1982-08-24,VfB Stuttgart,FC Schalke 04,2 - 1
5081,1,1982-08-24,Bayern Munchen,Fortuna Dusseldorf,1 - 0
5082,1,1982-08-24,VfL Bochum,Karlsruher SC,0 - 1
5083,1,1982-08-24,Eintracht Frankfurt,SV Bayer 04 Leverkusen,5 - 0
5084,1,1982-08-25,Bor. Monchengladbach,1. FC Nurnberg,1 - 2
5085,1,1982-08-25,Hamburger SV,Werder Bremen,1 - 1
5086,1,1982-08-25,Arminia Bielefeld,Eintracht Braunschweig,2 - 0
5087,1,1982-09-07,1. FC Koln,1. FC Kaiserslautern,3 - 0
5088,1,1982-08-31,Werder Bremen,Bor. Monchengladbach,2 - 0
5089,2,1982-08-31,FC Schalke 04,Hertha BSC,2 - 0
5090,2,1982-09-01,SV Bayer 04 Leverkusen,VfL Bochum,1 - 0
5091,2,1982-09-01,Borussia Dortmund,1. FC Koln,2 - 0
5092,2,1982-09-01,Arminia Bielefeld,Eintracht Frankfurt,2 - 1
5093,2,1982-09-01,Karlsruher SC,Bayern Munchen,0 - 4
5094,2,1982-09-01,1. FC Nurnberg,VfB Stuttgart,0 - 5
5095,2,1982-09-07,Fortuna Dusseldorf,Hamburger SV,0 - 6
5096,2,1982-11-09,Eintracht Braunschweig,1. FC Kaiserslautern,1 - 1
5097,2,1982-09-04,1. FC Koln,FC Schalke 04,2 - 1
5098,3,1982-09-04,VfB Stuttgart,Werder Bremen,4 - 1
5099,3,1982-09-04,Bor. Monchengladbach,Fortuna Dusseldorf,5 - 0
5100,3,1982-09-04,Hamburger SV,Karlsruher SC,4 - 0
5101,3,1982-09-04,Bayern Munchen,SV Bayer 04 Leverkusen,5 - 0
5102,3,1982-09-04,VfL Bochum,Arminia Bielefeld,1 - 1
5103,3,1982-09-04,Eintracht Frankfurt,Eintracht Braunschweig,0 - 1
5104,3,1982-09-04,1. FC Kaiserslautern,Borussia Dortmund,0 - 2
5105,3,1982-09-04,Hertha BSC,1. FC Nurnberg,5 - 1
