,Round Number,Date,Home Team,Away Team,Result
14230,0,2006-08-11,1. FC Kaiserslautern,Rot-Weiss Essen,1 - 0
14231,0,2006-08-11,Wacker Burghausen,Karlsruher SC,0 - 4
14232,0,2006-08-11,Kickers Offenbach,Carl Zeiss Jena,2 - 2
14233,0,2006-08-13,MSV Duisburg,TuS Koblenz,2 - 1
14234,0,2006-08-13,SC Freiburg,Hansa Rostock,0 - 0
14235,0,2006-08-13,SpVgg Greuther Furth,1860 Munchen,1 - 1
14236,0,2006-08-13,Erzgebirge Aue,SpVgg Unterhaching,1 - 0
14237,0,2006-08-13,Eintracht Braunschweig,SC Paderborn 07,0 - 0
14238,0,2006-08-14,FC Augsburg,1. FC Koln,0 - 2
14239,0,2006-08-18,Hansa Rostock,Erzgebirge Aue,1 - 0
14240,1,2006-08-18,1860 Munchen,Kickers Offenbach,3 - 0
14241,1,2006-08-18,Carl Zeiss Jena,Eintracht Braunschweig,0 - 0
14242,1,2006-08-20,1. FC Koln,Wacker Burghausen,5 - 1
14243,1,2006-08-20,SC Paderborn 07,FC Augsburg,1 - 0
14244,1,2006-08-20,SpVgg Unterhaching,MSV Duisburg,0 - 1
14245,1,2006-08-20,Rot-Weiss Essen,SC Freiburg,2 - 0
14246,1,2006-08-20,TuS Koblenz,SpVgg Greuther Furth,1 - 0
14247,1,2006-08-21,Karlsruher SC,1. FC Kaiserslautern,2 - 0
14248,1,2006-08-25,SC Freiburg,SpVgg Unterhaching,1 - 1
14249,2,2006-08-25,Kickers Offenbach,Karlsruher SC,0 - 1
14250,2,2006-08-25,Carl Zeiss Jena,1. FC Koln,3 - 2
14251,2,2006-08-27,1. FC Kaiserslautern,SC Paderborn 07,2 - 0
14252,2,2006-08-27,MSV Duisburg,Erzgebirge Aue,4 - 2
14253,2,2006-08-27,SpVgg Greuther Furth,Hansa Rostock,1 - 3
14254,2,2006-08-27,Eintracht Braunschweig,TuS Koblenz,0 - 2
14255,2,2006-08-27,FC Augsburg,Rot-Weiss Essen,0 - 0
14256,2,2006-08-28,Wacker Burghausen,1860 Munchen,0 - 2
14257,2,2006-09-15,1. FC Koln,Eintracht Braunschweig,4 - 1
14258,3,2006-09-15,SpVgg Unterhaching,FC Augsburg,0 - 1
14259,3,2006-09-15,Rot-Weiss Essen,Carl Zeiss Jena,4 - 4
14260,3,2006-09-17,Karlsruher SC,MSV Duisburg,3 - 3
14261,3,2006-09-17,Erzgebirge Aue,SpVgg Greuther Furth,0 - 3
