Round Number,Date,Location,Home Team,Away Team,Result
1,11/09/2020 20:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Fenerbahçe,1 - 2
1,12/09/2020 17:00,4 Eylül Stadium,Sivasspor,Alanyaspor,0 - 2
1,12/09/2020 17:00,Atatürk Olympic Stadium,Fatih Karagümrük,Yeni Malatyaspor,3 - 0
1,12/09/2020 20:00,Türk Telekom Stadium,Galatasaray,Gaziantep F.K.,3 - 1
1,12/09/2020 20:00,Gürsel Aksel Stadium,Göztepe,Denizlispor,5 - 1
1,13/09/2020 17:00,Eryaman Stadium,Ankaragücü,BB Erzurumspor,1 - 2
1,13/09/2020 17:00,Kadir Has Stadium,Kayserispor,Kasimpasa,1 - 0
1,13/09/2020 20:00,Senol Günes Stadium,Trabzonspor,Besiktas,1 - 3
1,13/09/2020 20:00,Antalya Stadium,Antalyaspor,Gençlerbirligi,2 - 0
1,14/09/2020 20:00,Antakya Atatürk Stadium,Hatayspor,Istanbul Basaksehir,2 - 0
2,18/09/2020 20:00,Malatya Stadium,Yeni Malatyaspor,Göztepe,1 - 1
2,19/09/2020 13:30,Eryaman Stadium,Gençlerbirligi,Konyaspor,0 - 0
2,19/09/2020 16:00,Denizli Atatürk Stadium,Denizlispor,Trabzonspor,0 - 0
2,19/09/2020 19:00,Vodafone Park,Besiktas,Antalyaspor,1 - 1
2,19/09/2020 19:00,Bahçesehir Okullari Stadium,Alanyaspor,Kayserispor,2 - 0
2,20/09/2020 13:30,Kazim Karabekir Stadium,BB Erzurumspor,Sivasspor,1 - 2
2,20/09/2020 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Çaykur Rizespor,2 - 0
2,20/09/2020 19:00,Gaziantep Arena,Gaziantep F.K.,Fatih Karagümrük,2 - 2
2,20/09/2020 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Galatasaray,0 - 2
2,21/09/2020 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Hatayspor,0 - 0
3,25/09/2020 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,Istanbul Basaksehir,2 - 0
3,26/09/2020 13:30,Kadir Has Stadium,Kayserispor,BB Erzurumspor,1 - 3
3,26/09/2020 16:00,Antakya Atatürk Stadium,Hatayspor,Kasimpasa,1 - 0
3,26/09/2020 16:00,Gürsel Aksel Stadium,Göztepe,Gaziantep F.K.,2 - 2
3,26/09/2020 19:00,Senol Günes Stadium,Trabzonspor,Yeni Malatyaspor,3 - 1
3,27/09/2020 13:30,Yeni Rize Sehir Stadium,Çaykur Rizespor,Alanyaspor,1 - 1
3,27/09/2020 16:00,4 Eylül Stadium,Sivasspor,Ankaragücü,0 - 0
3,27/09/2020 16:00,Konya Büyüksehir Stadium,Konyaspor,Besiktas,4 - 1
3,27/09/2020 19:00,Türk Telekom Stadium,Galatasaray,Fenerbahçe,0 - 0
3,28/09/2020 20:00,Antalya Stadium,Antalyaspor,Denizlispor,1 - 0
4,02/10/2020 20:00,Eryaman Stadium,Ankaragücü,Kayserispor,0 - 1
4,02/10/2020 20:00,Gaziantep Arena,Gaziantep F.K.,Trabzonspor,1 - 1
4,03/10/2020 13:30,Malatya Stadium,Yeni Malatyaspor,Antalyaspor,1 - 0
4,03/10/2020 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Çaykur Rizespor,0 - 0
4,03/10/2020 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Göztepe,0 - 0
4,03/10/2020 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Fatih Karagümrük,2 - 1
4,04/10/2020 13:30,Denizli Atatürk Stadium,Denizlispor,Konyaspor,0 - 0
4,04/10/2020 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Hatayspor,6 - 0
4,04/10/2020 16:00,Vodafone Park,Besiktas,Gençlerbirligi,0 - 1
4,04/10/2020 19:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Galatasaray,1 - 0
5,17/10/2020 13:30,Yeni Rize Sehir Stadium,Çaykur Rizespor,Ankaragücü,5 - 3
5,17/10/2020 16:00,Kadir Has Stadium,Kayserispor,Sivasspor,1 - 3
5,17/10/2020 16:00,Konya Büyüksehir Stadium,Konyaspor,Yeni Malatyaspor,1 - 1
5,17/10/2020 19:00,Senol Günes Stadium,Trabzonspor,Istanbul Basaksehir,0 - 2
5,18/10/2020 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Kasimpasa,1 - 1
5,18/10/2020 16:00,Antalya Stadium,Antalyaspor,Gaziantep F.K.,1 - 1
5,18/10/2020 19:00,Gürsel Aksel Stadium,Göztepe,Fenerbahçe,2 - 3
5,19/10/2020 20:00,Türk Telekom Stadium,Galatasaray,Alanyaspor,1 - 2
5,19/10/2020 20:00,Eryaman Stadium,Gençlerbirligi,Denizlispor,1 - 2
6,23/10/2020 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Göztepe,0 - 0
6,24/10/2020 16:00,Gaziantep Arena,Gaziantep F.K.,Konyaspor,1 - 0
6,24/10/2020 19:00,Kazim Karabekir Stadium,BB Erzurumspor,Galatasaray,1 - 2
6,24/10/2020 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Antalyaspor,5 - 1
6,25/10/2020 13:30,Malatya Stadium,Yeni Malatyaspor,Gençlerbirligi,2 - 1
6,25/10/2020 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Fatih Karagümrük,2 - 0
6,25/10/2020 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Trabzonspor,3 - 1
6,26/10/2020 20:00,4 Eylül Stadium,Sivasspor,Çaykur Rizespor,0 - 2
6,26/10/2020 20:00,Denizli Atatürk Stadium,Denizlispor,Besiktas,2 - 3
7,30/10/2020 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,BB Erzurumspor,5 - 1
7,30/10/2020 20:00,Senol Günes Stadium,Trabzonspor,Kasimpasa,3 - 4
7,31/10/2020 13:30,Eryaman Stadium,Gençlerbirligi,Gaziantep F.K.,1 - 1
7,31/10/2020 19:00,Türk Telekom Stadium,Galatasaray,Ankaragücü,1 - 0
7,01/11/2020 13:30,Yeni Rize Sehir Stadium,Çaykur Rizespor,Kayserispor,1 - 0
