Match Number,Round Number,Date,Location,Home Team,Away Team,Result
43,1,29/12/2020 05:35,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Melbourne City FC,0 - 0
40,1,30/12/2020 05:35,Bankwest Stadium,Western Sydney Wanderers FC,Sydney FC,0 - 3
23,1,30/12/2020 07:35,Viking Park,Canberra United,Adelaide United,4 - 3
20,2,02/01/2021 08:05,Wanderers Centre of Football,Western Sydney Wanderers FC,Newcastle Jets,2 - 1
11,2,03/01/2021 05:05,Viking Park,Canberra United,Melbourne City FC,2 - 1
18,2,03/01/2021 07:05,CB Smith Reserve,Melbourne Victory,Brisbane Roar FC,0 - 0
51,3,07/01/2021 08:05,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Canberra United,1 - 1
32,3,08/01/2021 05:35,McDonald Jones Stadium,Newcastle Jets,Sydney FC,1 - 2
55,3,09/01/2021 08:05,Marden Sports Complex,Adelaide United,Perth Glory,1 - 0
21,3,10/01/2021 05:05,CB Smith Reserve,Melbourne City FC,Melbourne Victory,0 - 6
42,4,14/01/2021 09:05,Dorrien Gardens,Perth Glory,Adelaide United,1 - 2
14,4,16/01/2021 08:40,Stadium Australia,Sydney FC,Western Sydney Wanderers FC,2 - 0
38,4,17/01/2021 05:05,Epping Stadium,Melbourne Victory,Melbourne City FC,2 - 3
2,4,17/01/2021 07:40,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar FC,1 - 1
52,5,21/01/2021 08:05,Marden Sports Complex,Adelaide United,Melbourne City FC,2 - 1
56,5,22/01/2021 10:05,Gold Coast Sports Centre,Brisbane Roar FC,Melbourne Victory,6 - 0
41,5,23/01/2021 05:05,No.2 Sportsground,Newcastle Jets,Western Sydney Wanderers FC,4 - 1
39,5,24/01/2021 05:05,Viking Park,Canberra United,Perth Glory,1 - 1
10,6,29/01/2021 08:05,Marden Sports Complex,Adelaide United,Melbourne Victory,0 - 1
50,6,30/01/2021 06:05,Viking Park,Canberra United,Western Sydney Wanderers FC,3 - 0
57,6,31/01/2021 05:05,AAMI Park,Melbourne City FC,Brisbane Roar FC,2 - 3
58,6,31/01/2021 07:05,Cromer Park,Sydney FC,Newcastle Jets,2 - 0
64,7,04/02/2021 08:05,AAMI Park,Melbourne City FC,Sydney FC,0 - 2
29,7,07/02/2021 05:05,Marconi Stadium,Western Sydney Wanderers FC,Adelaide United,2 - 2
65,7,07/02/2021 07:05,Latrobe City Stadium,Melbourne Victory,Newcastle Jets,4 - 2
60,7,08/02/2021 05:35,Netstrata Jubilee Stadium,Sydney FC,Canberra United,4 - 0
61,8,11/02/2021 08:05,Marconi Stadium,Western Sydney Wanderers FC,Brisbane Roar FC,1 - 2
33,8,14/02/2021 05:05,Leichhardt Oval,Sydney FC,Brisbane Roar FC,1 - 4
62,8,14/02/2021 07:05,Marden Sports Complex,Adelaide United,Canberra United,2 - 1
66,9,18/02/2021 08:10,Marconi Stadium,Western Sydney Wanderers FC,Perth Glory,1 - 0
63,9,20/02/2021 05:05,No.2 Sportsground,Newcastle Jets,Melbourne Victory,0 - 2
45,9,21/02/2021 05:05,Cromer Park,Sydney FC,Adelaide United,2 - 1
8,9,21/02/2021 07:05,Lions FC Stadium,Brisbane Roar FC,Perth Glory,4 - 0
67,10,25/02/2021 08:05,Wanderers Centre of Football,Western Sydney Wanderers FC,Melbourne City FC,1 - 0
68,10,25/02/2021 10:35,Dorrien Gardens,Perth Glory,Sydney FC,2 - 6
69,10,26/02/2021 07:05,No.2 Sportsground,Newcastle Jets,Adelaide United,1 - 2
70,10,28/02/2021 05:05,Epping Stadium,Melbourne Victory,Canberra United,1 - 1
71,11,04/03/2021 08:05,AAMI Park,Melbourne Victory,Western Sydney Wanderers FC,1 - 0
72,11,06/03/2021 08:05,Marden Sports Complex,Adelaide United,Sydney FC,2 - 0
73,11,07/03/2021 05:05,Viking Park,Canberra United,Brisbane Roar FC,4 - 1
74,11,08/03/2021 10:35,Dorrien Gardens,Perth Glory,Newcastle Jets,0 - 4
75,12,11/03/2021 08:05,Frank Holohan Reserve,Melbourne City FC,Western Sydney Wanderers FC,0 - 4
3,12,12/03/2021 07:05,Viking Park,Perth Glory,Canberra United,2 - 3
76,12,12/03/2021 10:05,Lions FC Stadium,Brisbane Roar FC,Adelaide United,4 - 2
44,12,14/03/2021 05:05,Frank Holohan Reserve,Melbourne City FC,Newcastle Jets,1 - 0
35,12,16/03/2021 10:35,Dorrien Gardens,Perth Glory,Melbourne Victory,0 - 1
77,13,19/03/2021 10:35,Dorrien Gardens,Perth Glory,Melbourne City FC,0 - 1
79,13,20/03/2021 07:35,No.2 Sportsground,Newcastle Jets,Canberra United,0 - 1
80,13,21/03/2021 05:05,Coopers Stadium,Adelaide United,Western Sydney Wanderers FC,3 - 1
59,14,25/03/2021 08:05,Frank Holohan Reserve,Melbourne City FC,Perth Glory,2 - 1
81,14,26/03/2021 06:35,Viking Park,Canberra United,Sydney FC,0 - 0
13,14,28/03/2021 05:05,Epping Stadium,Melbourne Victory,Perth Glory,6 - 0
82,14,28/03/2021 07:05,Lions FC Stadium,Brisbane Roar FC,Newcastle Jets,3 - 0
78,14,31/03/2021 08:35,Cromer Park,Sydney FC,Melbourne Victory,2 - 1
83,15,04/04/2021 06:00,Lions FC Stadium,Brisbane Roar FC,Melbourne Victory,2 - 6
84,16,05/04/2021 05:00,Netstrata Jubilee Stadium,Sydney FC,Canberra United,3 - 0
85,17,11/04/2021 06:05,Netstrata Jubilee Stadium,Sydney FC,Melbourne Victory,0 - 1
